Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Registered patients,Value  (Registered patients),Banding Classification  (Registered patients),Electronic prescription service,Value  (Electronic prescription service),Banding Classification  (Electronic prescription service),Weekday evening and weekend appointments offered here or nearby,Value  (Weekday evening and weekend appointments offered here or nearby),Banding Classification  (Weekday evening and weekend appointments offered here or nearby),Online appointment booking,Value  (Online appointment booking),Banding Classification  (Online appointment booking),Order or view repeat prescriptions online,Value  (Order or view repeat prescriptions online),Banding Classification  (Order or view repeat prescriptions online),Car parking (Is there car parking at this organisation?)
The New Surgery,E82131,GPB,St Peters House,Church Yard,,Tring,Hertfordshire,HP23 5AE,Tel: 01442890661, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Greensand Health Centre,G82024,GPB,3 Stockett Lane,Coxheath,,Maidstone,Kent,ME17 4PS,Tel: 01622745585, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Waltham St Lawrence Outreach Surgery,K81055001,GPB,Neville Hall,Waltham St. Lawrence,,Reading,Berkshire,RG10 0JP,Tel: 0118 9403939, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Ouse Valley Practice,H82615,GPB,Dumbledore Primary Care Centre,,,Haywards Heath,West Sussex,RH17 6HB,Tel: 01444405750, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Regal Chambers Surgery,E82075,GPB,50 Bancroft,Herts,,Hitchin,Hertfordshire,SG5 1LL,Tel: 01462453232, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr SP Hughes and Partners,E81046001,GPB,The Health Centre,Gooseberry Hill,,Luton,Bedfordshire,LU3 2LB,Tel: 01582528721, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Camberley Health Centre,H81082,GPB,159 Frimley Road,,,Camberley,Surrey,GU15 2QA,Tel: 0127620101, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Station Road Surgery,H81040,GPB,Station Road,Frimley,,Camberley,Surrey,GU16 7HG,Tel: 0127662622, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
ROTHSCHILD HOUSE SURGERY,E82001,GPB,Chapel Street,,,Tring,Hertfordshire,HP23 6PU,Tel: 01442822468, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Orchard Family Practice,G82162,GPB,The Red Suite,Rainham Healthy Living Centre,103-107 High Street,Rainham,Kent,ME8 8AA,Tel: 01634337620, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Church View Practice,G82704,GPB,Yellow Suite,Rainham Healthy Living Centre,103-107 High St,Gillingham,Kent,ME8 8AA,Tel: 01634337642, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Malling Health Blue Suite,G82727,GPB,103-107 High Street,,,Gillingham,Kent,ME8 8AA,Tel: 01634 337632, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Mara Hk & Partners,G82077003,GPB,Avery Way,Allhallows,,Rochester,Kent,ME3 9NY,Tel: 01634270345, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Anson Close Surgery,F81170001,GPB,3 Anson Close,Chelmsford,,South Woodham Ferrers,Essex,CM3 5YJ,Tel: 01245328040, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Greenwood Surgery,Y00589,GPB,Tylers Ride,South Woodham Ferrers,,Chelmsford,Essex,CM3 5XD,Tel: 01245426898, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr S H H Zaidi & Partner,F81128001,GPB,335 Eastwood Road North,,,Leigh-On-Sea,Essex,SS9 4LT,Tel: 01702529111, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Orchard Medical Centre,G82024001,GPB,146 Heath Road,Coxheath,,Maidstone,Kent,ME17 4PL,Tel: 01622744994, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Sankarakumaran Sathanandan,F81200,GPB,9 Blenheim Chase,,,Leigh On Sea,Essex,SS9 3BZ,Tel: 01702470336, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Sandhurst Group Practice,K81006001,GPB,"1 Cambridge Road, Owlsmoor",Owlsmoor,,SANDHURST,Berkshire,GU47 0UB,Tel: 01344751184, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
"Drs Mirza, Sukhani And Partners",E81612,GPB,30 The Green,Hockwell Ring,,Luton,Bedfordshire,LU4 9NN,Tel: 01582505355, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Bramingham Park Medical Centre ,E81064,GPB,Lucas Gardens,Barton Hills,,Luton,Bedfordshire,LU3 4BG,Tel: 01582597737, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Priory Gardens Surgery,E81014,GPB,,Church Street,,Dunstable,Bedfordshire,LU6 3SU,Tel: 01582 699 622, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Dipak Vidhu Shahs Practice,E81076,GPB,Pastures Way Surgery,Pastures Way,Lewsey Farm,Luton,Bedfordshire,LU4 0PF,Tel: 01582667017, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Kingsbury Court Surgery,E81045,GPB,Church Street,,,Dunstable,Bedfordshire,LU5 4RS,Tel: 01582663218, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Wilford P J & Partners,G82076001,GPB,1 Boughton Lane,Boughton Parade,Loose,Maidstone,Kent,ME15 9QD,Tel: 01622744644, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Eastgate Surgery,E81635,GPB,Eastgate House,28-34 Church Street,,Dunstable,Bedfordshire,LU5 4RU,Tel: 01582670050, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Kirby Road Surgery,E81052,GPB,58 Kirby Road,,,Dunstable,Bedfordshire,LU6 3JH,Tel: 01582609121, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr S H H Zaidi & Partner,F81128002,GPB,346 Rayleigh Road,,,Leigh-On-Sea,Essex,SS9 5PU,Tel: 01702525289, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Laurels Surgery,F81149,GPB,Juniper Road,Boreham,,Chelmsford,Essex,CM3 3DX,Tel: 01245380324, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
West Street Surgery,E81009,GPB,89 West Street,,,Dunstable,Bedfordshire,LU6 1SF,Tel: 01582664401, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Khanchandani,E81028001,GPB,10 Wetherne Link Hockwell Ring,10 Wetherne Link,Hockwell Ring,Luton,Bedfordshire,LU4 9PE,Tel: 01582420788, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Elmsleigh Drive Surgery,F81695,GPB,203 Elmsleigh Drive,,,Leigh-on-Sea,Essex,SS9 4JH,Tel: 01702 712666, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Barton Hills Medical Group,E81632,GPB,Whitehorse Vale,Barton Hills,,Luton,Bedfordshire,LU3 4AD,Tel: 01582490087, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Grove Green Medical Centre,G82604002,GPB,Grove Green Medical Centre,Unit 1 Minor Centre,Grove Green,Maidstone,Kent,ME14 5TQ,Tel: 01622734775, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Leigh Surgery,F81696,GPB,194 Elmsleigh Drive,,,Leigh On Sea,Essex,SS9 4JQ,Tel: 01702470705, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Gardenia & Marsh Farm Practice,E81041001,GPB,The Purley Centre,,,Luton,Bedfordshire,LU3 3SR,Tel: 01582346259, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Ringmead Medical Practice – Crowthorne,K81030002,GPB,Ringmead (Crowthorne),54 Heath Hill Road South,,Crowthorne,Berkshire,RG45 7BN,Tel: 01344 208060, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Beacon Health Group,F81100,GPB,52 Maldon Road,Danbury,,Chelmsford,Essex,CM3 4QL,Tel: 01245221777, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Pall Mall Surgery,F81144,GPB,"1St Floor, Leigh Primary Care Centre",918 London Road,,Leigh On Sea,Essex,SS9 3NG,Tel: 01702482900, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Wheatfield Surgery,E81008,GPB,60 Wheatfield Road,Lewsey Farm,,Luton,Bedfordshire,LU4 0TR,Tel: 01582601116, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Bartlett Group Practice - Ash Vale,H81013001,GPB,Wharf Road,,,Ash Vale,Surrey,GU12 5BA,Tel: 01252317551, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Sundon Medical Centre,E81040,GPB,142/144 Sundon Park Road,,,Luton,Bedfordshire,LU3 3AH,Tel: 01582571130, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Sundon Park Health Centre,E81054,GPB,10 Tenth Avenue,,,Luton,Bedfordshire,LU3 3EP,Tel: 01582507913, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Sollershott Surgery,E82104,GPB,44 Sollershott East,,,Letchworth Garden City,Hertfordshire,SG6 3JW,Tel: 01462 683637, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Frant Surgery,G81030001,GPB,34 High Street,Frant,,Tunbridge Wells,Kent,TN3 9DT,Tel: 01892750366, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The New Surgery,K81080,GPB,New Wokingham Road Surgery,18 New Wokingham Road,,Crowthorne,Berkshire,RG45 6JL,Tel: 01344773418, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr S H H Zaidi & Dr S T A Zaidi,F81128,GPB,Kent Elms Health Centre,1 Rayleigh Road,,Leigh-On-Sea,Essex,SS9 5UU,Tel: 01702421888, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Malik - Kent Elms Hc,F81223,GPB,1 Rayleigh Road,,,Leigh On Sea,Essex,SS9 5UU,Tel: 01702529333, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Krishnan & Ptnr - Kent Elms Hc,F81046,GPB,1 Rayleigh Road,,,Leigh On Sea,Essex,SS9 5UU,Tel: 01702522012, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Alexander House Surgery,J82120,GPB,Alexander House,2 Salisbury Road,,Farnborough,Hampshire,GU14 7AW,Tel: 01252541155, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Howell Surgery,G82158,GPB,High Street,,,Brenchley,Kent,TN12 7NQ,Tel: 01892722007, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Courtyard Surgery,H82028,GPB,56 London Road,,,Horsham,West Sussex,RH12 1AT,Tel: 01403330320, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Dome Surgery,F81690001,GPB,Dome Caravan Park,Lower Road,,Hockley,Essex,SS5 5LU,Tel: 01702232157, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Northumberland Court,G82604,GPB,10A Northumberland Court,Shepway,,Maidstone,Kent,ME15 7LN,Tel: 01622753920, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Voyager Family Health,J82067,GPB,208 Farnborough Road,,,Farnborough,Hampshire,GU14 7JN,Tel: 01252545078, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Burma Hill Practice,K81638,GPB,Ashridge Road,,,Wokingham,Berkshire,RG40 1PH,Tel: 01189785854, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Park Surgery,H82017,GPB,Albion Way,,,Horsham,West Sussex,RH12 1BG,Tel: 01403330266, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Leigh Road Surgery,F81092001,GPB,38-40 Leigh Road,,,Leigh On Sea,Essex,SS9 1LF,Tel: 01702475105, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Little Rothschild Surgery,E82001001,GPB,71 Marsworth Road,Pitstone,Leighton Buzzard,Rothschild,Bedfordshire,LU7 9AX,Tel: 01296662800, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Mayfield Medical Centre,J82181,GPB,Croyde Close,,,Farnborough,Hampshire,GU14 8UE,Tel: 01252541884, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Felsted Surgery,F81118001,GPB,Braintree Road,Dunmow,,Felsted,Essex,CM6 3DL,Tel: 01371820410, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Pitstone Surgery,K82079001,GPB,Yardley Avenue,Pitstone,,Leighton Buzzard,Bedfordshire,LU7 9BE,Tel: 01525223211, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Scott Park Surgery,F81744,GPB,205 Western Approaches,,,Southend On Sea,Essex,SS2 6XY,Tel: 01702420642, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Edlesborough Surgery,K82079,GPB,11 Cow Lane,Edlesborough,,Dunstable,Bedfordshire,LU6 2HT,Tel: 01525221630, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Mote Medical Practice,G82076,GPB,St Saviours Road,,,Maidstone,Kent,ME15 9FL,Tel: 01622756888, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Orchard Surgery,H82036,GPB,Lower Tanbridge Way,,,Horsham,West Sussex,RH12 1PJ,Tel: 01403253966, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Sandhurst Group Practice,K81006,GPB,72 Yorktown Road,,,Sandhurst,Berkshire,GU47 9BT,Tel: 01252877322, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Maidstone Road Surgery,G82180001,GPB,56 Oak Lane,Upchurch,Sittingbourne,Gillingham,Kent,ME9 7AU,Tel: 01634231423, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Wokingham Medical Centre,K81022,GPB,23 Rose Street,,,Wokingham,Berkshire,RG40 1XS,Tel: 01189784566, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Beacon Surgery,G81019,GPB,Beacon Road,,,Crowborough,East Sussex,TN6 1AH,Tel: 01892652233, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Riverside Surgery,H82089,GPB,48 Worthing Road,,,Horsham,West Sussex,RH12 1UD,Tel: 01403 274700, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
North Camp Surgery,J82630,GPB,2 Queens Road,,,Farnborough,Hampshire,GU14 6DH,Tel: 01252517734, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Spires,G82604003,GPB,Chiltern Close,Downswood,,Maidstone,Kent,ME15 8XG,Tel: 01622 862759, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Garden City Surgery,E82661,GPB,59 Station Road,,,Letchworth Garden City,Hertfordshire,SG6 3BJ,Tel: 01462624000, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Giffard Drive Surgery,J82015,GPB,68 Giffard Drive,Cove Farnborough,,Farnborough,Hampshire,GU14 8QB,Tel: 01252 541282, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Bearsted Medical Practice,G82074,GPB,Yeoman Lane,Bearsted,,Maidstone,Kent,ME14 4DS,Tel: 01622737326, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Jinmi & Partners,E81027,GPB,Houghton Regis Med.Ctr.,"Peel St, Houghton Regis",Nr.Dunstable,Houghton Regis,Bedfordshire,LU5 5EZ,Tel: 01582866161, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Hawkwell Park Drive - Branch Surgery,F81675001,GPB,2 Hawkwell Park Drive,,,Hockley,Essex,SS5 4HB,Tel: 01702207146, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Saxonbury House Surgery,G81055,GPB,Croft Road,,,Crowborough,East Sussex,TN6 1DL,Tel: 01892603131, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
BALDOCK SURGERY,E82099,GPB,Astonia House,High Street,,Baldock,Hertfordshire,SG7 6BP,Tel: 01462892458, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Nevells Road Surgery,E82008,GPB,Nevells Road,Letchworth,,Letchworth Garden City,Hertfordshire,SG6 4TS,Tel: 01462 414 839, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Oakley Health Group - Hartley Corner Surgery,J82049,GPB,51 Frogmore Road,,,Blackwater,Hampshire,GU17 0DD,Tel: 01252872791, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Rudgwick Medical Centre,H82027,GPB,Station Road,Rudgwick,,Horsham,West Sussex,RH12 3HB,Tel: 01403822103, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Greensward Surgery,F81066,GPB,Greensward Lane,,,Hockley,Essex,SS5 5HQ,Tel: 01702202353, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Birchwood Surgery,E82082,GPB,232-240 Nevells Road,Letchworth,,Letchworth Garden City,Hertfordshire,SG6 4UB,Tel: 01462 705040, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Lane End Surgery,K82023003,GPB,Finings Road,Lane End,,High Wycombe,Buckinghamshire,HP14 3ES,Tel: 01494881209, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Wallis Avenue Surgery,G82641,GPB,Wallis Avenue,,,Maidstone,Kent,ME15 9JJ,Tel: 01622686963, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Jenner House Surgery,J82125,GPB,159-161 Cove Road,,,Farnborough,Hampshire,GU14 0HQ,Tel: 01252548141, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Westongrove Partnership,K82073,GPB,Wendover Health Centre,Aylesbury Raod,,Wendover,Buckinghamshire,HP22 6LD,Tel: 01296623452, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Aston Clinton Surgery,K82073001,GPB,136 London Road,Aston Clinton,,Aylesbury,Buckinghamshire,HP22 5LB,Tel: 01296 630241, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Valkyrie Surgery,F81097,GPB,Valkyrie Road Primary Care Centre,50 Valkyrie Road,,Westcliff On Sea,Essex,SS0 8BU,Tel: 01702221622, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Wargrave Practice,K81055,GPB,Victoria Road,Wargrave,,Reading,Berkshire,RG10 8BP,Tel: 01189403939, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Twyford Surgery,K81070,GPB,6 Loddon Hall Road,Twyford,,Reading,Berkshire,RG10 9JA,Tel: 01189346680, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Bekas Medical Centre,F81207,GPB,48 Argyll Road,,,Westcliff On Sea,Essex,SS0 7HN,Tel: 01702432040, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Guildford Rivers Practice,H81132,GPB,Chapel Lane,Milford,,Godalming,Surrey,GU8 5HU,Tel: 01483303200, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Griggs Meadow Branch Surgery,H81022001,GPB,20 Griggs Meadow,Dunsfold,,Godalming,Surrey,GU8 4ND,Tel: 01428683174, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Woosehill Practice,K81092,GPB,Fernlea Drive,Woosehill,,Wokingham,Berkshire,RG41 3DR,Tel: 01189788689, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Milford Crossroads Branch,H81031001,GPB,Church Road,Milford,,Godalming,Surrey,GU8 5JQ,Tel: 01483414461, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Border Practice,J82142,GPB,Blackwater Way,,,Aldershot,Hampshire,GU12 4DN,Tel: 01252 344434, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Sooriakumaran,F81092,GPB,3 Prince Avenue,,,Southend On Sea,Essex,SS2 6RL,Tel: 01702347947, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Southwood Practice,J82067001,GPB,Southwood Practice,Links Way,,Farnborough,Hampshire,GU14 0NA,Tel: 01252371715, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Ashingdon Medical centre,F81690,GPB,57 Lascelles Gardens,,,Rochford,Essex,SS4 3BW,Tel: 01702414970, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Central Surgery - North Road Pcc,F81147,GPB,North Road Primary Care Centre,"1St Floor, 183-195 North Road",Westcliff On Sea,Southend On Sea,Essex,SS0 7AF,Tel: 01702 342589, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
West Road Surgery,F81164,GPB,North Road Primary Care Centre,183-195 North Road,,Westcliff On Sea,Essex,SS0 7AF,Tel: 01702339865, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Carnarvon Medical Centre,F81003,GPB,North Road Primary Care Centre,,183-195 North Road,Southend On Sea,Essex,SS0 7AF,Tel: 01702349957, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Brook Health Centre,G81043001,GPB,Crowborough Hill,Jarvis Brook,,Crowborough,East Sussex,TN6 2ED,Tel: 01892652850, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Horsmonden Surgery,G82158001,GPB,Lamberhurst Road,Horsmonden,,Tonbridge,Kent,TN12 8LP,Tel: 01892723988, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Practice Leecon Way & Hawkwell,F81675,GPB,1 Leecon Way,,,Rochford,Essex,SS4 1TU,Tel: 01702547828, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Hambleden Surgery,K82023001,GPB,57A Hambleden,,,Henley-On-Thames,Oxfordshire,RG9 6RT,Tel: 01491571305, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
"Drs G Streeter, N Potter, J Morgan & R Estall",G82215,GPB,Church Green,Marden,,Tonbridge,Kent,TN12 9HP,Tel: 01622831257, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Oakley Health Group - Yateley Medical Centre,J82049001,GPB,Oaklands,,,Yateley,Hampshire,GU46 7LS,Tel: 01252872333, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Southend Medical Centre,F81159,GPB,50-52 London Road,,,Southend On Sea,Essex,SS1 1NX,Tel: 01702333298, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Sas Mid and South Essex Stp,Y06389,GPB,Suite 7,Skyline Plaza,Victoria Avenue,Southend-on-Sea,,SS2 6BB,Tel: 01702 742102, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Newington Surgery,G82757001,GPB,43 High Street,Newington,,Sittingbourne,,ME9 7JR,, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Wellington Practice,J82198,GPB,Aldershot Centre For Health,Hospital Hill,,Aldershot,Hampshire,GU11 1AY,Tel: 01252335460, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Cambridge Practice,J82066,GPB,Aldershot Centre For Health,Hospital Hill,,Aldershot,Hampshire,GU11 1AY,Tel: 01252 344868, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Lindfield Medical Centre,H82035,GPB,High Street,Lindfield,,Haywards Heath,West Sussex,RH16 2HX,Tel: 01444484056, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
"The Health Centre, Christ's Hospital",H82017001,GPB,Christ's Hospital School,Christ's Hospital,,Horsham,West Sussex,RH13 0YP,Tel: 01403 247500, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
"Dr Kothari, Dr Nanda,Dr Brezina,Dr Hart And Dr Metcalfe",F81007,GPB,Back Lane,,,Rochford,Essex,SS4 1AY,Tel: 01702533740, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Sidney House Surgery,F81149002,GPB,Strutt Close,Hatfield Peverel,,Chelmsford,Essex,CM3 2HB,Tel: 01245380324, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Queensway Surgery,F81081,GPB,75 Queensway,,,Southend On Sea,Essex,SS1 2AB,Tel: 01702463333, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Princes Gardens Surgery,J82178,GPB,2A High Street,,,Aldershot,Hampshire,GU11 1BJ,Tel: 01252332210, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Hughes & Partners,E81046,GPB,Hexton Road,Barton-Le-Clay,,Bedford,Bedfordshire,MK45 4TA,Tel: 01582528701, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Sutton Road Surgery,F81081001,GPB,508 Sutton Road,,,Southend On Sea,Essex,SS2 5PN,Tel: 01702468301, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Winnersh Surgery,K81047002,GPB,10 Melbourne Avenue,Winnersh,,Wokingham,Berkshire,RG41 5EL,Tel: 01189669333, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Warrior Square Surgery,F81656,GPB,61 Warrior Square,,,Southend On Sea,Essex,SS1 2JJ,Tel: 01702618411, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Witley Surgery,H81031,GPB,Wheeler Lane,Witley,Nr.Godalming,Godalming,Surrey,GU8 5QR,Tel: 01428682218, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Owls Hill Surgery,F81030002,GPB,Terling,,,Chelmsford,Essex,CM3 2PW,Tel: 01376502108, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Southlea Surgery (Aldershot Health Centre),J82066001,GPB,Wellington Avenue,,,Aldershot,Hampshire,GU11 1PA,, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Finchampstead Practice,K81025,GPB,474-478 Finchampstead Road,Finchampstead,Wokingham,Wokingham,Berkshire,RG40 3RG,Tel: 01189732678, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Cambridge Practice,J82066003,GPB,276 Lower Farnham Road,,,Aldershot,Hampshire,GU11 3RB,Tel: 01252344868, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Cuckfield Medical Centre,H82005,GPB,Glebe Road,Cuckfield,,Haywards Heath,West Sussex,RH17 5BQ,Tel: 01444458738, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Rotherfield Surgery,G81043,GPB,Rotherfield,,,Crowborough,East Sussex,TN6 3QW,Tel: 01892852415, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Dr Mara Hk & Partners,G82077001,GPB,Village Hall,Grain,,Rochester,Kent,ME3 0BY,Tel: 01634270791, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Loddon Vale Practice,K81069,GPB,1 Hurricane Way,Woodley,,Reading,Berkshire,RG5 4UX,Tel: 01189690160, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Winnersh Surgery,K81051001,GPB,3 Westfield Road,Winnersh,,Wokingham,Berkshire,RG41 5ES,Tel: 01189697307, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Springfield Surgery,H81044,GPB,Springfield,Godalming,,Elstead,Surrey,GU8 6EG,Tel: 01252703122, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
The Orchard Surgery,G82691,GPB,Horseshoes Lane,Langley,,Maidstone,Kent,ME17 3JY,Tel: 01622 863030, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Newport Surgery,F81034,GPB,Frambury Lane,Newport,,Saffron Walden,Essex,CB11 3PY,Tel: 01799540570, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
Oakley Health Group - Monteagle Surgery,J82049002,GPB,Tesimond Drive,,,Yateley,Hampshire,GU46 6FE,Tel: 01252872333, - ,,, - ,,, - ,,, - ,,, - ,,, - ,,,
